# Time-averaged data for fix f_msd
# TimeStep c_c_msd[4]
1000 534.849
2000 882.766
3000 917.886
4000 983.016
5000 1132.16
6000 1248.25
7000 1262.93
8000 1277.42
9000 1290.76
10000 1297.85
11000 1300.81
12000 1314.52
13000 1324.12
14000 1330.6
15000 1342.65
16000 1353.94
17000 1371.43
18000 1384.3
19000 1394.59
20000 1414.01
21000 1434.18
22000 1455.45
23000 1471.25
24000 1489.51
25000 1508.98
26000 1520.4
27000 1524.64
28000 1523.21
29000 1525.92
30000 1531.24
31000 1539.45
32000 1550.59
33000 1553.01
34000 1558.37
35000 1574.58
36000 1593.61
37000 1614.62
38000 1631.68
39000 1644.93
40000 1652.34
41000 1662.19
42000 1676.46
43000 1677.95
44000 1689.04
45000 1699.87
46000 1712.98
47000 1723.97
48000 1739.98
49000 1754.72
50000 1754.46
51000 1757.5
52000 1770.63
53000 1784.66
54000 1797.33
55000 1809.55
56000 1817.08
57000 1822.88
58000 1837.7
59000 1849.14
60000 1854.01
61000 1856.64
62000 1868.2
63000 1869.77
64000 1869.82
65000 1880.76
66000 1891.64
67000 1896.85
68000 1903.38
69000 1908.6
70000 1910.09
71000 1914
72000 1924.54
73000 1926.22
74000 1930.17
75000 1934.83
76000 1954.32
77000 1970.23
78000 1984.84
79000 1997
80000 2015.22
81000 2038.41
82000 2057.14
83000 2077.09
84000 2096.81
85000 2103.23
86000 2097.09
87000 2096.25
88000 2109.01
89000 2120.54
90000 2118.97
91000 2124.03
92000 2131.09
93000 2140.99
94000 2141.03
95000 2142.61
96000 2143.12
97000 2141.41
98000 2144.97
99000 2167.17
100000 2180.69
101000 2185.65
102000 2191.06
103000 2185.27
104000 2189.61
105000 2197.94
106000 2192.16
107000 2188.62
108000 2185.91
109000 2194.42
110000 2204.77
111000 2220.91
112000 2231.47
113000 2230.68
114000 2222.04
115000 2208.86
116000 2199.68
117000 2199.34
118000 2207.16
119000 2212.68
120000 2209.01
121000 2195.64
122000 2188
123000 2191.59
124000 2195.69
125000 2198.69
126000 2193.08
127000 2182.18
128000 2188.45
129000 2196.59
130000 2200.11
131000 2207.7
132000 2214.33
133000 2220.46
134000 2221.94
135000 2215.71
136000 2217.38
137000 2234.79
138000 2246.25
139000 2248.59
140000 2253.3
141000 2262.4
142000 2260.53
143000 2263.39
144000 2271.02
145000 2275.76
146000 2279.4
147000 2287.35
148000 2292.63
149000 2305.63
150000 2316.43
151000 2327.51
152000 2342.54
153000 2359.92
154000 2378.14
155000 2389.53
156000 2394.8
157000 2408.81
158000 2415.85
159000 2420.36
160000 2415.04
161000 2398.49
162000 2396.34
163000 2396.74
164000 2392.94
165000 2408.95
166000 2417.44
167000 2418.19
168000 2422.65
169000 2414.32
170000 2410.31
171000 2401.7
172000 2400.74
173000 2398.51
174000 2405.42
175000 2410.63
176000 2426
177000 2428.94
178000 2429.3
179000 2418.23
180000 2406.99
181000 2415.14
182000 2425.35
183000 2429.63
184000 2428.6
185000 2425.43
186000 2421.2
187000 2408.28
188000 2403.55
189000 2398.21
190000 2393.82
191000 2395.64
192000 2403.19
193000 2411.23
194000 2419.87
195000 2426.09
196000 2440.82
197000 2443.89
198000 2446.55
199000 2449.22
200000 2461.45
201000 2472.77
202000 2486.59
203000 2497.28
204000 2506.21
205000 2522.35
