# Time-averaged data for fix f_msd
# TimeStep c_c_msd[4]
1000 532.421
2000 855.933
3000 846.487
4000 913.212
5000 1059.87
6000 1142.61
7000 1166.25
8000 1185.92
9000 1194.76
10000 1196.83
11000 1199.46
12000 1201.05
13000 1200.65
14000 1210.87
15000 1231.05
16000 1256.51
17000 1277.35
18000 1286.1
19000 1295.69
20000 1306.42
21000 1320.13
22000 1338.79
23000 1356.15
24000 1365.03
25000 1380.29
26000 1396.52
27000 1409.63
28000 1431.19
29000 1453.17
30000 1469.29
31000 1481.33
32000 1500.24
33000 1520.84
34000 1543.86
35000 1559.77
36000 1559.52
37000 1568.48
38000 1577.44
39000 1576.07
40000 1591.27
41000 1607.75
42000 1612.45
43000 1617.72
44000 1624.72
45000 1631.9
46000 1632.39
47000 1631.71
48000 1634.06
49000 1645.13
50000 1651.11
51000 1659.43
52000 1672.95
53000 1690.73
54000 1709.76
55000 1716.48
56000 1719.81
57000 1728.06
58000 1724.5
59000 1721.49
60000 1719.43
61000 1713.73
62000 1704.61
63000 1696.55
64000 1689.58
65000 1686.48
66000 1698.58
67000 1703.46
68000 1698.94
69000 1705.07
70000 1706.43
71000 1710.43
72000 1721.22
73000 1723.94
74000 1728.48
75000 1718.55
76000 1712.76
77000 1714.16
78000 1718.9
79000 1720.74
80000 1725.73
81000 1725.02
82000 1728.1
83000 1734.08
84000 1737.69
85000 1749.29
86000 1755.72
87000 1765.58
88000 1779.8
89000 1791.49
90000 1791.77
91000 1797.04
92000 1803.61
93000 1801.42
94000 1811.14
95000 1813.34
96000 1825.79
97000 1837.13
98000 1841.65
99000 1844.79
100000 1851.61
101000 1866.28
102000 1886.9
103000 1901.05
104000 1902.08
105000 1906.98
106000 1926.05
107000 1954.55
108000 1982.24
109000 2006.68
110000 2019.94
111000 2029.6
112000 2046.49
113000 2060.9
114000 2071.95
115000 2069.14
116000 2063.59
117000 2057.64
118000 2055.2
119000 2064.79
120000 2074.88
121000 2084.24
122000 2092.01
123000 2101.16
124000 2106.19
125000 2111.27
126000 2113.8
127000 2104.92
128000 2099.94
129000 2100.84
130000 2105.43
131000 2128.6
132000 2139.62
133000 2141.9
134000 2155.38
135000 2166.51
136000 2172.77
137000 2167.58
138000 2158.22
139000 2157.16
140000 2175.63
141000 2190.22
142000 2200.69
143000 2203.36
144000 2211.93
145000 2216.69
146000 2223.2
147000 2228.64
148000 2218.2
149000 2207.32
150000 2199.04
151000 2195.57
152000 2184.09
153000 2170.08
154000 2159.81
155000 2156.56
156000 2157.62
157000 2160.9
158000 2161.55
159000 2152.7
160000 2150.33
161000 2163.23
162000 2179.82
163000 2194.53
164000 2196.38
165000 2198.78
166000 2202.83
167000 2204.28
168000 2210.84
169000 2219.71
170000 2224.14
171000 2231.33
172000 2235.45
173000 2238.05
174000 2236.37
175000 2235.52
176000 2234.71
177000 2232.13
178000 2224.76
179000 2220.61
180000 2227.4
181000 2232.5
182000 2237.04
183000 2240.09
184000 2245.78
185000 2246.7
186000 2250.05
187000 2253.07
188000 2263.42
189000 2274.89
190000 2273.33
191000 2269.86
192000 2269.38
193000 2255.38
194000 2242.73
195000 2234.12
196000 2215.35
197000 2202.81
198000 2197.77
199000 2198.29
200000 2209.64
201000 2206.38
202000 2200.75
203000 2205.85
204000 2204.88
205000 2204.16
