# Time-averaged data for fix f_shear
# TimeStep v_shear_stress
206000 -9.45916
207000 -0.346659
208000 -1.61047
209000 -0.755819
210000 -0.329406
211000 -0.347116
212000 0.302896
213000 0.33392
214000 0.146344
215000 0.365632
216000 -0.814284
217000 -0.682017
218000 -1.20644
219000 -0.733473
220000 0.413549
221000 -0.686712
222000 -0.684967
223000 -0.475204
224000 -2.05948
225000 -1.85467
226000 -0.701169
227000 -0.00767544
228000 0.164706
229000 -0.0958402
230000 -0.714836
231000 -1.33054
232000 -1.92381
233000 -0.93735
234000 0.859825
235000 2.04076
236000 1.29704
237000 1.82212
238000 1.03763
239000 -0.0563685
240000 0.249741
241000 -0.713715
242000 -0.47929
243000 -0.0375582
244000 -0.229743
245000 0.11754
246000 0.428184
247000 -0.631628
248000 -1.05205
249000 -0.0670126
250000 0.52295
251000 -0.863503
252000 -1.09762
253000 -0.350462
254000 -1.77104
255000 -0.358076
256000 0.251495
257000 2.23271
258000 0.0888326
259000 1.53827
260000 0.129801
261000 0.260458
262000 -0.0019611
263000 -0.0739762
264000 0.717326
265000 1.15725
266000 0.892584
267000 0.395967
268000 -0.638629
269000 -2.09755
270000 -1.20068
271000 -0.83963
272000 -0.269537
273000 -0.275792
274000 -1.09355
275000 -0.989221
276000 -1.06405
277000 -0.436191
278000 -0.557391
279000 -0.417018
280000 0.794671
281000 0.871779
282000 0.393442
283000 -0.0659925
284000 -0.199139
285000 -0.406798
286000 -1.40276
287000 -2.6467
288000 -2.22893
289000 -1.46394
290000 -1.36828
291000 -1.18204
292000 -1.2409
293000 -1.20582
294000 -0.906722
295000 -0.926992
296000 -1.84546
297000 -2.01344
298000 -1.51497
299000 -0.804193
300000 -0.717216
301000 -1.32962
302000 -1.05455
303000 -0.597725
304000 -0.295829
305000 -0.9584
306000 -2.09992
307000 -2.26017
308000 -2.96886
309000 -2.90171
310000 -2.47274
311000 -1.21468
312000 0.244895
313000 -1.18968
314000 -2.22825
315000 -3.18779
316000 -4.23142
317000 -3.559
318000 -3.36879
319000 -2.3994
320000 -3.27554
321000 -3.47378
322000 -3.00225
323000 -5.2411
324000 -4.99055
325000 -4.50759
326000 -4.68866
327000 -3.99976
328000 -2.92536
329000 -2.831
330000 -3.62933
331000 -3.46449
332000 -4.01428
333000 -5.23314
334000 -5.77452
335000 -5.49354
336000 -4.83972
337000 -5.77636
338000 -6.92865
339000 -6.32711
340000 -6.30813
341000 -5.25865
342000 -6.33686
343000 -7.56965
344000 -7.18096
345000 -6.39136
346000 -6.11268
347000 -6.57674
348000 -6.23525
349000 -6.8769
350000 -7.26845
351000 -6.70795
352000 -5.90437
353000 -5.99247
354000 -4.81025
355000 -4.62309
356000 -4.08414
357000 -3.29187
358000 -4.09369
359000 -5.70178
360000 -6.79471
361000 -7.42213
362000 -7.61526
363000 -7.42908
364000 -6.07394
365000 -4.99311
366000 -5.56712
367000 -5.77922
368000 -6.56864
369000 -5.79707
370000 -5.07922
371000 -4.04843
372000 -4.51619
373000 -5.62263
374000 -4.73636
375000 -3.96735
376000 -3.03704
377000 -2.10133
378000 -2.41716
379000 -3.26732
380000 -4.27108
381000 -5.19397
382000 -4.05549
383000 -3.30833
384000 -3.64446
385000 -3.62901
386000 -4.45658
387000 -5.02712
388000 -5.1413
389000 -4.77543
390000 -5.04661
391000 -5.03979
392000 -5.19716
393000 -4.07571
394000 -3.60811
395000 -3.61367
396000 -4.06048
397000 -3.94173
398000 -4.36767
399000 -6.15274
400000 -5.76348
401000 -4.5488
402000 -3.91222
403000 -3.89244
404000 -4.12215
405000 -4.04959
406000 -3.94294
407000 -3.88642
408000 -2.99037
409000 -2.29665
410000 -2.61804
411000 -1.69172
412000 -1.96937
413000 -2.82274
414000 -3.9934
415000 -3.58297
416000 -3.11219
417000 -2.86934
418000 -3.23391
419000 -2.21661
420000 -2.21429
421000 -2.54873
422000 -3.17477
423000 -2.96962
424000 -2.69999
425000 -3.70865
426000 -4.22268
427000 -3.90776
428000 -4.15889
429000 -4.84612
430000 -4.4023
431000 -2.64676
432000 -2.71908
433000 -2.25046
434000 -1.55196
435000 -2.47504
436000 -2.16366
437000 -1.63081
438000 -2.51763
439000 -2.98041
440000 -3.06225
441000 -2.94445
442000 -2.07479
443000 -1.65833
444000 -1.54628
445000 -1.0541
446000 -1.839
447000 -1.51445
448000 -2.16479
449000 -2.12609
450000 -1.91519
451000 -0.489569
452000 0.446725
453000 1.10659
454000 1.77421
455000 1.32959
456000 0.655612
457000 0.827204
458000 0.171724
459000 -0.836996
460000 -1.69392
461000 -2.95786
462000 -3.78974
463000 -3.96548
464000 -4.27026
465000 -3.46371
466000 -2.29048
467000 -1.93979
468000 -1.39706
469000 -1.45656
470000 -3.14756
471000 -3.18283
472000 -3.10763
473000 -2.9991
474000 -2.80344
475000 -2.77169
476000 -2.89063
477000 -1.67123
478000 -1.92284
479000 -1.90747
480000 -1.41142
481000 -1.68343
482000 -1.35148
483000 -1.35969
484000 -0.950325
485000 -2.08496
486000 -3.41744
487000 -3.89181
488000 -3.47148
489000 -4.42855
490000 -4.22286
491000 -2.84231
492000 -2.09574
493000 -2.34346
494000 -2.34905
495000 -1.4055
496000 0.0319967
497000 0.296426
498000 1.55897
499000 1.00584
500000 -0.203252
501000 -0.581817
502000 -0.583724
503000 -2.1426
504000 -2.56514
505000 -2.95426
506000 -2.37935
507000 -1.55091
508000 -1.6231
509000 -1.39116
510000 -0.168968
511000 -0.510131
512000 -0.183919
513000 0.547259
514000 0.715641
515000 1.02233
516000 1.4144
517000 1.49075
518000 2.32353
519000 2.57704
520000 3.46314
521000 2.67037
522000 1.562
523000 -0.221147
524000 -1.24161
525000 -0.543728
526000 -0.71365
527000 -0.288948
528000 -0.0480327
529000 0.705981
530000 1.07206
531000 0.754055
532000 0.737377
533000 0.653828
534000 -0.110724
535000 -1.24641
536000 -2.53032
537000 -2.34039
538000 -1.83419
539000 -0.490166
540000 -0.208522
541000 -0.230354
542000 -0.142242
543000 -1.16807
544000 -1.63372
545000 -1.39949
546000 -1.83892
547000 -1.54024
548000 -0.578025
549000 0.283998
550000 -0.394963
551000 -0.585541
552000 -0.138891
553000 0.20765
554000 1.13384
555000 1.75905
556000 1.88875
557000 0.99005
558000 0.115781
559000 -0.561412
560000 -0.252657
561000 0.294041
562000 0.324474
563000 0.0404873
564000 1.76093
565000 1.25147
566000 0.59869
567000 1.80375
568000 0.972405
569000 0.285409
570000 0.992267
571000 2.04083
572000 2.14858
573000 1.85947
574000 2.08755
575000 2.86783
576000 4.5924
577000 4.91992
578000 4.72938
579000 4.28171
580000 4.50262
581000 4.43149
582000 4.82448
583000 3.54292
584000 2.88538
585000 3.35742
586000 1.67815
587000 1.41258
588000 1.62048
589000 2.20985
590000 1.6924
591000 2.2364
592000 2.69795
593000 2.99571
594000 3.7155
595000 4.36803
596000 3.6135
597000 3.14001
598000 3.14962
599000 4.12919
600000 5.13084
601000 4.37377
602000 3.87198
603000 4.39594
604000 4.26661
