# Time-averaged data for fix f_msd
# TimeStep c_c_msd[4]
1000 554.21
2000 903.839
3000 999.598
4000 1071.33
5000 1231.37
6000 1360.26
7000 1374.77
8000 1377.75
9000 1386.85
10000 1400.31
11000 1419.7
12000 1445.62
13000 1473.55
14000 1489.34
15000 1498.47
16000 1508.73
17000 1508.64
18000 1510.37
19000 1529.32
20000 1549.71
21000 1562.48
22000 1565.48
23000 1575.76
24000 1593.61
25000 1609.98
26000 1619.14
27000 1631.01
28000 1649.05
29000 1660.93
30000 1667.8
31000 1686.27
32000 1706.5
33000 1725.96
34000 1748.03
35000 1770.44
36000 1790.28
37000 1801.35
38000 1808.63
39000 1819.66
40000 1829.71
41000 1839.33
42000 1844.17
43000 1845.17
44000 1861.74
45000 1888.79
46000 1904.27
47000 1917.14
48000 1920.83
49000 1917.72
50000 1917.31
51000 1918.8
52000 1925.19
53000 1931.52
54000 1941.22
55000 1941.56
56000 1938.85
57000 1942.95
58000 1942.91
59000 1929.46
60000 1927.55
61000 1931.8
62000 1945.1
63000 1970.43
64000 2000.42
65000 2035.16
66000 2040.57
67000 2049.21
68000 2063.87
69000 2082.94
70000 2094.15
71000 2109.6
72000 2126.54
73000 2135.88
74000 2151.78
75000 2179.38
76000 2212.95
77000 2234.63
78000 2248.13
79000 2250.24
80000 2249.92
81000 2263.02
82000 2268.8
83000 2280.32
84000 2293.9
85000 2311.91
86000 2318.76
87000 2323.22
88000 2329.53
89000 2330.47
90000 2325.29
91000 2333.21
92000 2342.65
93000 2355.29
94000 2374.16
95000 2388.84
96000 2402.78
97000 2416.23
98000 2426.61
99000 2440.14
100000 2451.65
101000 2462.28
102000 2486.24
103000 2514.54
104000 2535.76
105000 2550.49
106000 2575.31
107000 2585.96
108000 2586.19
109000 2583.8
110000 2598.44
111000 2610.74
112000 2617.12
113000 2628.23
114000 2640.89
115000 2659.43
116000 2662.39
117000 2661.58
118000 2663.44
119000 2669.31
120000 2668.84
121000 2673.24
122000 2672.99
123000 2668.44
124000 2681.16
125000 2682.51
126000 2674.67
127000 2681.22
128000 2681.43
129000 2679.05
130000 2678.81
131000 2669.14
132000 2667.1
133000 2658.93
134000 2663.17
135000 2678.51
136000 2704.89
137000 2722.61
138000 2735.72
139000 2741.23
140000 2748.01
141000 2740.71
142000 2740.06
143000 2746.24
144000 2752.77
145000 2765.42
146000 2783.18
147000 2782.66
148000 2788.63
149000 2788.84
150000 2788.9
151000 2792.29
152000 2802.55
153000 2817.53
154000 2838.08
155000 2851.12
156000 2844.92
157000 2842.89
158000 2858.84
159000 2878.88
160000 2899.28
161000 2915.52
162000 2926.54
163000 2940.55
164000 2951.11
165000 2969.6
166000 2985.5
167000 2993.64
168000 3010.13
169000 3025.35
170000 3043.3
171000 3052.35
172000 3065.36
173000 3076.84
174000 3074.83
175000 3085.1
176000 3096.66
177000 3103.01
178000 3118.37
179000 3144.1
180000 3162.87
181000 3182.69
182000 3206.47
183000 3221.23
184000 3246.4
185000 3278.79
186000 3308.09
187000 3326.57
188000 3331.21
189000 3337.42
190000 3348.7
191000 3358.2
192000 3386.61
193000 3418.04
194000 3445.58
195000 3472.43
196000 3496.67
197000 3522.76
198000 3558.17
199000 3577.04
200000 3598.95
201000 3623.99
202000 3649.73
203000 3665.27
204000 3691.35
205000 3703.77
