# Time-averaged data for fix f_msd
# TimeStep c_c_msd[4]
1000 529.173
2000 866.037
3000 922.74
4000 979.046
5000 1119.95
6000 1203.77
7000 1204.02
8000 1201.71
9000 1206.05
10000 1212.44
11000 1216.86
12000 1217.73
13000 1219.32
14000 1226.29
15000 1241.93
16000 1242.19
17000 1236.41
18000 1228.9
19000 1230.94
20000 1233.97
21000 1239.78
22000 1237.51
23000 1227.88
24000 1225.34
25000 1225.38
26000 1229.07
27000 1237.28
28000 1246.21
29000 1252.1
30000 1252.71
31000 1247.91
32000 1247.55
33000 1251.64
34000 1259.88
35000 1261.63
36000 1266.48
37000 1267.36
38000 1264.07
39000 1270.69
40000 1273.32
41000 1276.54
42000 1278.69
43000 1286.57
44000 1296.7
45000 1309.29
46000 1322.12
47000 1337.13
48000 1353.4
49000 1364.36
50000 1381.5
51000 1401.69
52000 1414.32
53000 1417.98
54000 1426.51
55000 1447.2
56000 1464.87
57000 1470.79
58000 1472.74
59000 1483.46
60000 1511.81
61000 1540.13
62000 1570.32
63000 1593.03
64000 1604.66
65000 1620.11
66000 1635.45
67000 1645.26
68000 1646.13
69000 1649.33
70000 1658.37
71000 1667.44
72000 1680.43
73000 1700.52
74000 1710.56
75000 1723.94
76000 1735
77000 1745.88
78000 1756.19
79000 1772.29
80000 1788.46
81000 1799.37
82000 1796.38
83000 1805.08
84000 1818.44
85000 1830.81
86000 1829.71
87000 1824.3
88000 1828.85
89000 1837.35
90000 1838.37
91000 1845.14
92000 1859.17
93000 1861.74
94000 1870.06
95000 1884.19
96000 1894.58
97000 1896.48
98000 1891.37
99000 1893.32
100000 1898.7
101000 1905.17
102000 1905.97
103000 1908.43
104000 1906.63
105000 1911
106000 1933.62
107000 1945.35
108000 1951.45
109000 1951.23
110000 1958.38
111000 1969.54
112000 1968.76
113000 1974.25
114000 1976.78
115000 1980.07
116000 1984.55
117000 1988.25
118000 2001.17
119000 2005.38
120000 2014.42
121000 2031.67
122000 2057.63
123000 2065.17
124000 2072.44
125000 2074.8
126000 2076.61
127000 2082.74
128000 2093.64
129000 2102.51
130000 2120.1
131000 2142.47
132000 2154.39
133000 2165.57
134000 2170.46
135000 2192.07
136000 2211.61
137000 2221.17
138000 2235.21
139000 2254.38
140000 2260.71
141000 2268.19
142000 2272.79
143000 2276.03
144000 2278.23
145000 2290.78
146000 2301.18
147000 2310.39
148000 2320.05
149000 2327.96
150000 2345.68
151000 2357.78
152000 2375.16
153000 2375.22
154000 2372.7
155000 2379.14
156000 2400.77
157000 2419.99
158000 2431.45
159000 2429.17
160000 2438.84
161000 2446.08
162000 2444.77
163000 2441.97
164000 2441.78
165000 2443.97
166000 2453.83
167000 2467.24
168000 2469.05
169000 2464.4
170000 2457.11
171000 2454.93
172000 2482.66
173000 2503.88
174000 2508.01
175000 2511.08
176000 2519.76
177000 2525.84
178000 2513.88
179000 2507.09
180000 2504.54
181000 2503.67
182000 2508
183000 2512.36
184000 2512.49
185000 2519.75
186000 2526.65
187000 2543.15
188000 2563.96
189000 2592.34
190000 2619.6
191000 2637.65
192000 2643.18
193000 2666.68
194000 2690.32
195000 2704.89
196000 2722.5
197000 2738.8
198000 2746.82
199000 2760.84
200000 2764.37
201000 2766.04
202000 2769.57
203000 2772.08
204000 2775.73
205000 2778.9
