# Time-averaged data for fix f_shear
# TimeStep v_shear_stress
206000 8.27163
207000 -1.05309
208000 -1.93025
209000 1.86246
210000 -3.57903
211000 0.830999
212000 1.1673
213000 2.42657
214000 4.15453
215000 1.25024
216000 0.491599
217000 -0.103751
218000 -0.44894
219000 -2.30118
220000 -4.62777
221000 -8.08374
222000 -4.94533
223000 -5.22428
224000 -6.36539
225000 -5.15584
226000 -7.49512
227000 -5.69931
228000 -7.75514
229000 -6.69366
230000 -6.13996
231000 -6.38117
232000 -9.45942
233000 -4.39939
234000 -5.17352
235000 -3.69762
236000 -3.98725
237000 -1.00287
238000 -1.85
239000 -1.92406
240000 -0.948459
241000 -3.3862
242000 -0.843977
243000 -1.59303
244000 -2.14825
245000 -0.641074
246000 -0.935675
247000 0.0026472
248000 -0.0230075
249000 -6.40431
250000 -5.03479
251000 -4.16309
252000 -2.69744
253000 -7.47999
254000 -6.19292
255000 -6.78456
256000 -5.12099
257000 -7.10525
258000 -5.37664
259000 -4.65436
260000 -3.42428
261000 -4.82836
262000 -5.52376
263000 -6.86402
264000 -7.12139
265000 -5.51168
266000 -3.63262
267000 -2.00118
268000 1.79314
269000 1.16137
270000 -2.58598
271000 1.36768
272000 -1.43352
273000 0.570113
274000 -3.39159
275000 -3.03165
276000 1.38263
277000 -2.44589
278000 -0.792822
279000 1.08974
280000 1.71413
281000 2.02763
282000 -0.168296
283000 0.955408
284000 4.66583
285000 2.11913
286000 1.2037
287000 -1.85331
288000 -4.277
289000 -3.12632
290000 -1.57267
291000 -3.61045
292000 0.483089
293000 -0.792456
294000 -1.15074
295000 -2.00952
296000 0.160377
297000 1.12642
298000 -1.19691
299000 0.766014
300000 0.322463
301000 2.08404
302000 0.197297
303000 0.0107886
304000 1.29587
305000 1.79958
306000 2.142
307000 5.7758
308000 3.79775
309000 3.01701
310000 4.74518
311000 7.24607
312000 4.11847
313000 1.45898
314000 -1.78304
315000 -1.34751
316000 0.992764
317000 4.42148
318000 3.01141
319000 2.16051
320000 1.39649
321000 2.92302
322000 0.498072
323000 3.15604
324000 0.175131
325000 -0.68177
326000 -0.600613
327000 -0.393759
328000 -3.37177
329000 1.55521
330000 1.97362
331000 1.57122
332000 1.00577
333000 0.416364
334000 -2.39417
335000 -5.10128
336000 -9.10831
337000 -9.24868
338000 -7.82577
339000 -6.79496
340000 -12.3316
341000 -7.92323
342000 -8.36169
343000 -11.9128
344000 -12.8539
345000 -14.2437
346000 -14.2557
347000 -13.4353
348000 -12.8415
349000 -11.2868
350000 -13.3519
351000 -13.0187
352000 -11.8825
353000 -12.3694
354000 -15.5519
355000 -14.4204
356000 -14.2735
357000 -12.7409
358000 -16.7254
359000 -18.1125
360000 -20.2244
361000 -19.6157
362000 -20.3766
363000 -23.6289
364000 -22.3699
365000 -18.5009
366000 -20.0611
367000 -24.7999
368000 -19.1507
369000 -19.8913
370000 -19.5339
371000 -19.9297
372000 -17.1215
373000 -17.1352
374000 -19.4561
375000 -17.9094
376000 -20.7247
377000 -20.5628
378000 -17.5224
379000 -14.8926
380000 -16.3765
381000 -18.7143
382000 -17.2624
383000 -13.1869
384000 -18.8107
385000 -16.1919
386000 -13.3255
387000 -16.6971
388000 -14.9638
389000 -14.7579
390000 -11.4509
391000 -12.8884
392000 -12.2675
393000 -10.8997
394000 -7.99639
395000 -5.72577
396000 -12.6501
397000 -13.0697
398000 -13.6104
399000 -11.5067
400000 -11.6799
401000 -11.5385
402000 -8.71334
403000 -8.82835
404000 -7.46135
405000 -8.99271
406000 -7.97115
407000 -9.85699
408000 -12.1202
409000 -10.8333
410000 -7.46858
411000 -7.18571
412000 -9.40763
413000 -8.50427
414000 -4.11515
415000 -3.90235
416000 -6.36724
417000 -7.50233
418000 -10.3431
419000 -15.907
420000 -13.5737
421000 -11.8322
422000 -9.70358
423000 -6.87944
424000 -8.07252
425000 -4.40184
426000 -5.76739
427000 -5.64714
428000 -3.34294
429000 -0.347188
430000 -4.54597
431000 -8.07225
432000 -6.65844
433000 -6.50877
434000 -4.84375
435000 -5.88557
436000 -6.08516
437000 -8.16047
438000 -5.29957
439000 -4.04242
440000 -3.78637
441000 -0.987764
