# Time-averaged data for fix f_msd
# TimeStep c_c_msd[4]
1000 529.173
2000 866.037
3000 922.74
4000 979.046
5000 1119.95
6000 1203.62
7000 1205.11
8000 1204.46
9000 1201.01
10000 1196.11
11000 1196.62
12000 1204.35
13000 1218.65
14000 1227.55
15000 1229.82
16000 1230.91
17000 1223.35
18000 1213.33
19000 1207.35
20000 1207
21000 1211.12
22000 1218.95
23000 1214.81
24000 1211.8
25000 1206.67
26000 1208.14
27000 1212.56
28000 1218.95
29000 1214.93
30000 1218.6
31000 1231.71
32000 1242.97
33000 1255.3
34000 1268.68
35000 1280.26
36000 1297.24
37000 1311.54
38000 1328.05
39000 1344.36
40000 1344.83
41000 1349.66
42000 1351.58
43000 1360.16
44000 1370.75
45000 1377.22
46000 1385.74
47000 1390.59
48000 1396.97
49000 1403.76
50000 1407.08
51000 1419.54
52000 1438.55
53000 1447.87
54000 1455.01
55000 1460.22
56000 1463.48
57000 1466.51
58000 1467.1
59000 1464.12
60000 1450.66
61000 1440.68
62000 1438.84
63000 1440.7
64000 1442.16
65000 1451.65
66000 1457.86
67000 1464.13
68000 1466.05
69000 1469.17
70000 1477.22
71000 1483.26
72000 1487.46
73000 1487.04
74000 1502.57
75000 1516.32
76000 1519.73
77000 1524.91
78000 1525.8
79000 1533.02
80000 1537.84
81000 1544.19
82000 1545.21
83000 1542.9
84000 1538.24
85000 1524.37
86000 1509.52
87000 1497.41
88000 1493.64
89000 1487.29
90000 1483.15
91000 1485.37
92000 1489.77
93000 1486.66
94000 1479.67
95000 1481.72
96000 1492.8
97000 1492.28
98000 1487.91
99000 1491.6
100000 1497.06
101000 1495.47
102000 1485.27
103000 1464.75
104000 1448.54
105000 1442.15
106000 1445.88
107000 1450.81
108000 1458.45
109000 1462.84
110000 1472.1
111000 1484.93
112000 1493.43
113000 1496.36
114000 1510.94
115000 1532.24
116000 1547.61
117000 1555.12
118000 1561.87
119000 1573.46
120000 1588.72
121000 1585.85
122000 1578.39
123000 1581.72
124000 1585.21
125000 1583.75
126000 1581.22
127000 1575.75
128000 1576.68
129000 1583.82
130000 1584.03
131000 1588.31
132000 1595.65
133000 1606.84
134000 1616.31
135000 1615.07
136000 1617.48
137000 1620.76
138000 1618.68
139000 1611.41
140000 1609.43
141000 1606.91
142000 1614.01
143000 1618.04
144000 1614.47
145000 1616.33
146000 1617.65
147000 1627.9
148000 1632.8
149000 1636.21
150000 1638.15
151000 1644.41
152000 1649.46
153000 1658.42
154000 1657.92
155000 1652.54
156000 1646.07
157000 1641.49
158000 1634.87
159000 1639.26
160000 1640.99
161000 1644.02
162000 1644.97
163000 1654.49
164000 1671.51
165000 1680.13
166000 1690.47
167000 1701.76
168000 1708.45
169000 1719.77
170000 1724.25
171000 1735.41
172000 1736.64
173000 1738.71
174000 1740.19
175000 1738.24
176000 1743.65
177000 1745.73
178000 1743.58
179000 1737.95
180000 1733.26
181000 1722.72
182000 1718
183000 1711.45
184000 1706.54
185000 1699.98
186000 1695.36
187000 1689.51
188000 1688.55
189000 1699
190000 1715.55
191000 1721.88
192000 1722.9
193000 1731.61
194000 1734.95
195000 1735.5
196000 1736.82
197000 1734.81
198000 1741.29
199000 1739.34
200000 1740.77
201000 1736.63
202000 1731.51
203000 1723.39
204000 1722.43
205000 1722.03
