# Time-averaged data for fix f_msd
# TimeStep c_c_msd[4]
1000 533.378
2000 937.401
3000 1038.16
4000 1165.08
5000 1298.02
6000 1369.38
7000 1383.19
8000 1394.28
9000 1405.62
10000 1413.18
11000 1417.18
12000 1415.94
13000 1418.86
14000 1423.98
15000 1427.06
16000 1434.51
17000 1443.64
18000 1458.73
19000 1465.96
20000 1473.91
21000 1474.6
22000 1479.35
23000 1488.9
24000 1499.37
25000 1514.52
26000 1529.12
27000 1536.5
28000 1547.13
29000 1564.04
30000 1574.22
31000 1588.23
32000 1602.91
33000 1607.41
34000 1620.62
35000 1630.12
36000 1639.6
37000 1656.72
38000 1674.3
39000 1684.01
40000 1684.76
41000 1692.58
42000 1705.12
43000 1721.19
44000 1724.76
45000 1725.38
46000 1730.68
47000 1736.17
48000 1736.59
49000 1736.94
50000 1736.91
51000 1740
52000 1750.5
53000 1765.21
54000 1766.18
55000 1767.41
56000 1768.77
57000 1764.24
58000 1754.54
59000 1758.87
60000 1760.81
61000 1768.81
62000 1768.36
63000 1776.65
64000 1792.35
65000 1810.06
66000 1836.12
67000 1844.98
68000 1855.37
69000 1871.38
70000 1890.27
71000 1897.09
72000 1900.79
73000 1901.26
74000 1898.88
75000 1909.32
76000 1921.59
77000 1932.06
78000 1941.51
79000 1937.45
80000 1931.17
81000 1929.28
82000 1927.34
83000 1923.57
84000 1918.96
85000 1924.29
86000 1930.05
87000 1932.35
88000 1933.1
89000 1934.71
90000 1935.32
91000 1941.37
92000 1950.87
93000 1958.61
94000 1975.83
95000 1996.79
96000 2014.57
97000 2020.31
98000 2022.29
99000 2022.89
100000 2029.71
101000 2031.93
102000 2032.46
103000 2036.91
104000 2042.61
105000 2044.77
106000 2062.71
107000 2083.28
108000 2100.76
109000 2112.46
110000 2118.57
111000 2114.97
112000 2109.29
113000 2102.76
114000 2111.43
115000 2120.44
116000 2120.78
117000 2121.75
118000 2127.66
119000 2129.23
120000 2128.79
121000 2149.87
122000 2164.5
123000 2180.18
124000 2193.97
125000 2200.17
126000 2197.97
127000 2199.96
128000 2199.67
129000 2198.79
130000 2203.66
131000 2212.43
132000 2217.1
133000 2214.48
134000 2214.2
135000 2214.3
136000 2217.91
137000 2224.92
138000 2231.6
139000 2236.57
140000 2233.53
141000 2230.12
142000 2224.85
143000 2229.27
144000 2242.2
145000 2255.43
146000 2264.09
147000 2269.21
148000 2262.8
149000 2258.28
150000 2251.73
151000 2248.09
152000 2247.21
153000 2245.31
154000 2248.91
155000 2259.96
156000 2276.45
157000 2287.23
158000 2290.72
159000 2292.7
160000 2288.46
161000 2284.27
162000 2273.04
163000 2272.26
164000 2280.39
165000 2284
166000 2284.17
167000 2282.12
168000 2276.56
169000 2269.74
170000 2265.43
171000 2267.7
172000 2274.93
173000 2288.91
174000 2291.84
175000 2303.01
176000 2318.61
177000 2335.09
178000 2337.52
179000 2335.72
180000 2335.88
181000 2336.8
182000 2331.25
183000 2328.4
184000 2337.76
185000 2344.72
186000 2346.19
187000 2352.68
188000 2360.13
189000 2364.56
190000 2378.5
191000 2389.18
192000 2389.84
193000 2395.2
194000 2396.44
195000 2397.33
196000 2392.39
197000 2385.63
198000 2391.98
199000 2397.21
200000 2403.55
201000 2397.77
202000 2399.02
203000 2397.84
204000 2408.5
205000 2401
