# Time-averaged data for fix f_msd
# TimeStep c_c_msd[4]
1000 507.675
2000 828.056
3000 893.108
4000 952.788
5000 1109.37
6000 1198.48
7000 1204.5
8000 1213.12
9000 1225.33
10000 1240.74
11000 1252.73
12000 1264.3
13000 1273.27
14000 1280.89
15000 1287.43
16000 1296.3
17000 1304.02
18000 1304.42
19000 1310.46
20000 1319.42
21000 1327.31
22000 1331.07
23000 1337.17
24000 1346.08
25000 1351.97
26000 1352.89
27000 1354.46
28000 1352.1
29000 1352.94
30000 1354.49
31000 1360.53
32000 1371.57
33000 1386.52
34000 1397.6
35000 1398.95
36000 1404.95
37000 1407.88
38000 1410.58
39000 1423.65
40000 1438.42
41000 1447.04
42000 1447.84
43000 1442.03
44000 1433.86
45000 1431.33
46000 1442.79
47000 1439.54
48000 1437.44
49000 1442.92
50000 1441.08
51000 1442.44
52000 1447.57
53000 1450.36
54000 1452.61
55000 1446.24
56000 1442.09
57000 1446.59
58000 1460.73
59000 1476.95
60000 1484.62
61000 1495.82
62000 1504.51
63000 1505.99
64000 1514.03
65000 1512.39
66000 1520.1
67000 1540.13
68000 1558.77
69000 1569.32
70000 1566.1
71000 1567.75
72000 1568.86
73000 1570.8
74000 1578.67
75000 1580.59
76000 1591.23
77000 1598.74
78000 1608.45
79000 1608.43
80000 1604.39
81000 1602.45
82000 1604.27
83000 1610.74
84000 1616.06
85000 1632.09
86000 1645.46
87000 1657.05
88000 1670.85
89000 1679.73
90000 1689.43
91000 1705.77
92000 1722.61
93000 1743.64
94000 1758.92
95000 1762.08
96000 1770.96
97000 1776.08
98000 1782.9
99000 1795.55
100000 1807.09
101000 1811.27
102000 1810.65
103000 1802.13
104000 1806.19
105000 1816.61
106000 1823.29
107000 1836.25
108000 1841.8
109000 1847.34
110000 1859.48
111000 1863.5
112000 1871.01
113000 1873.99
114000 1871.51
115000 1873.96
116000 1883.84
117000 1887.09
118000 1888.57
119000 1890.84
120000 1890.87
121000 1885.05
122000 1885.1
123000 1876.82
124000 1880.36
125000 1892.85
126000 1899.25
127000 1904.86
128000 1907.96
129000 1915.63
130000 1917.9
131000 1920.44
132000 1929.78
133000 1927.26
134000 1920.76
135000 1921.94
136000 1918.68
137000 1921.83
138000 1924.05
139000 1923.22
140000 1925.69
141000 1936.17
142000 1945.81
143000 1950.93
144000 1946.05
145000 1943.29
146000 1940.94
147000 1935.4
148000 1930.27
149000 1935.59
150000 1942.3
151000 1947.31
152000 1945.23
153000 1952.44
154000 1961.14
155000 1964.23
156000 1972.26
157000 1975.17
158000 1976.16
159000 1979.99
160000 1977.2
161000 1977.93
162000 1977.1
163000 1977.49
164000 1980.74
165000 1982.18
166000 1986.31
167000 1997.07
168000 1998.79
169000 1995.1
170000 2000.08
171000 2014.06
172000 2023.59
173000 2023.62
174000 2026.78
175000 2034.75
176000 2036.05
177000 2032.83
178000 2035.22
179000 2036.78
180000 2032.26
181000 2032.44
182000 2033.02
183000 2023.03
184000 2024.59
185000 2024.73
186000 2017.56
187000 2013.68
188000 2020.21
189000 2028.48
190000 2037.7
191000 2043.19
192000 2054.99
193000 2064.02
194000 2072.35
195000 2076.69
196000 2071.29
197000 2065.59
198000 2065.82
199000 2080.02
200000 2101.45
201000 2113.5
202000 2123.08
203000 2138.28
204000 2145.03
205000 2152.75
