# Time-averaged data for fix f_shear
# TimeStep v_shear_stress
206000 -0.14342
207000 -3.67955
208000 1.07528
209000 3.82679
210000 3.51418
211000 0.560268
212000 0.955074
213000 1.18467
214000 0.998048
215000 -1.28693
216000 -0.0840763
217000 2.3809
218000 1.57441
219000 -0.276508
220000 0.778118
221000 -0.0414752
222000 -0.0242205
223000 0.713382
224000 1.42398
225000 0.993694
226000 -1.32442
227000 -1.21504
228000 0.424447
229000 -2.60075
230000 2.80189
231000 0.772614
232000 2.73048
233000 1.62842
234000 3.25613
235000 2.86636
236000 1.20076
237000 1.36994
238000 -3.61786
239000 -1.67358
240000 -7.59692
241000 -4.45641
242000 -3.92928
243000 -3.91456
244000 0.251008
245000 -0.598905
246000 -0.536561
247000 3.56445
248000 1.22089
249000 3.86606
250000 2.15589
251000 -1.80881
252000 -0.537817
253000 0.865346
254000 2.83323
255000 -0.140507
256000 0.9384
257000 -0.848633
258000 -0.888313
259000 -1.72585
260000 -3.2478
261000 -4.50397
262000 -8.31413
263000 -4.19543
264000 0.457418
265000 0.258385
266000 -2.14495
267000 -2.14126
268000 -1.84003
269000 1.31792
270000 0.127249
271000 -3.54524
272000 -6.24242
273000 -2.29187
274000 -0.430976
275000 -0.664479
276000 -3.10423
277000 -2.51599
278000 3.75114
279000 3.6332
280000 4.55576
281000 -1.93798
282000 0.677175
283000 -0.127452
284000 -0.564828
285000 0.124426
286000 0.502076
287000 0.212878
288000 2.54905
289000 -0.840546
290000 -1.56157
291000 -3.02217
292000 -1.54754
293000 -2.19235
294000 -4.80169
295000 -1.49599
296000 1.62854
297000 -1.60881
298000 -1.11812
299000 -0.414279
300000 -4.56783
301000 -3.86879
302000 -3.33589
303000 -0.949021
304000 2.8146
305000 -1.07204
306000 -1.95786
307000 -3.63883
308000 -7.09545
309000 -6.96942
310000 -2.00563
311000 1.88808
312000 -2.48922
313000 -4.62351
314000 -5.66125
315000 -4.08986
316000 -7.56139
317000 -8.13096
318000 -5.52815
319000 -4.03783
320000 -0.887467
321000 0.059534
322000 -2.4095
323000 -5.05495
324000 0.389239
325000 1.48261
326000 -2.19193
327000 -3.21249
328000 -4.88144
329000 -2.63178
330000 -5.35656
331000 -3.64864
332000 -1.31333
333000 -2.71292
334000 -1.81477
335000 -2.76856
336000 -0.9913
337000 -1.0472
338000 -4.96048
339000 -8.44015
340000 -8.51824
341000 -3.03003
342000 -2.41593
343000 -2.57903
344000 -2.16743
345000 3.20683
346000 0.555869
347000 -3.74601
348000 -4.98311
349000 -6.6927
350000 -5.67285
351000 -4.73015
352000 -6.76179
353000 -9.15189
354000 -9.0051
355000 -5.92525
356000 -6.45629
357000 -3.96465
358000 -1.49233
359000 -4.8426
360000 -7.25946
361000 -12.8815
362000 -15.2985
363000 -13.9019
364000 -16.7445
365000 -16.7809
366000 -12.3047
367000 -16.7618
368000 -17.4889
369000 -18.3439
370000 -20.9896
371000 -20.4169
372000 -22.9887
373000 -24.5692
374000 -23.542
375000 -20.8405
376000 -22.4827
377000 -22.0817
378000 -21.1741
379000 -19.0227
380000 -22.0511
381000 -19.1384
382000 -22.0202
383000 -24.6393
384000 -23.8122
385000 -22.4839
386000 -22.3798
387000 -18.7807
388000 -17.1172
389000 -17.892
390000 -14.3126
391000 -15.7718
392000 -18.5148
393000 -13.3795
394000 -9.63631
395000 -12.5114
396000 -10.3167
397000 -7.2639
398000 -9.0352
399000 -7.99833
400000 -7.63384
401000 -7.28167
402000 -9.33639
403000 -7.88246
404000 -5.57487
405000 -4.85219
406000 -3.28124
407000 -1.80016
408000 -0.0941373
409000 2.43238
410000 2.6545
411000 0.511701
412000 -1.39078
413000 -0.143597
414000 1.37061
415000 0.990882
416000 4.21432
417000 2.36227
418000 3.43281
419000 3.76022
420000 3.59901
421000 8.2164
422000 6.24003
423000 8.52771
424000 6.6755
425000 7.86515
426000 5.49141
427000 5.6595
428000 8.18273
429000 7.53616
430000 6.35288
431000 3.74804
432000 3.07562
433000 10.8534
434000 4.67177
435000 3.33508
436000 5.5125
437000 7.02739
438000 6.90333
439000 3.91422
440000 5.98494
441000 3.34622
442000 1.25469
443000 2.45453
444000 2.48398
445000 2.85857
446000 0.714896
447000 1.28981
448000 0.403487
449000 2.62272
450000 -0.764073
451000 -2.82392
452000 -3.09195
453000 -0.0792987
454000 -1.60783
455000 2.20823
456000 1.88443
457000 1.21691
458000 2.05
459000 -1.68765
460000 1.58865
461000 4.76331
462000 2.05549
463000 2.54876
464000 4.59308
465000 0.73043
466000 -0.353422
467000 -0.258427
468000 0.0253877
469000 -2.06967
470000 -3.45685
471000 -5.71727
472000 -3.4807
473000 -1.906
474000 -3.27131
475000 -9.15488
476000 -4.87281
477000 -7.40673
478000 -4.7179
479000 -5.4445
480000 -6.30744
481000 -6.11395
482000 -3.64009
483000 0.619611
484000 -1.53512
485000 -1.70497
486000 -4.50003
487000 -3.80263
488000 -0.615593
489000 0.629348
490000 3.62415
491000 2.01107
492000 0.322681
493000 0.365176
494000 -1.44449
495000 -2.68117
496000 -5.41584
497000 -8.54445
498000 -7.0511
499000 -6.86993
500000 -10.259
501000 -12.06
502000 -10.7542
503000 -9.66388
504000 -11.1976
505000 -12.0524
506000 -9.65827
507000 -11.2986
508000 -12.7717
509000 -10.5191
510000 -8.67628
511000 -7.98599
512000 -4.6891
513000 -4.03588
514000 -3.78782
515000 -9.52483
516000 -10.9634
517000 -10.4477
518000 -4.98023
519000 -4.61966
520000 -2.88671
521000 -2.52159
522000 -5.36426
523000 -4.45332
524000 -3.7162
525000 -0.59813
526000 -4.71492
527000 -3.12777
528000 -0.575587
529000 -3.59117
530000 -1.73218
531000 -2.6526
532000 -5.30592
533000 -3.97026
534000 -2.6769
535000 -3.61238
536000 3.13517
537000 -1.06731
538000 -3.46394
539000 -4.61025
540000 -5.74391
541000 -5.67358
542000 -6.32314
543000 -8.42252
544000 -3.77055
545000 -8.83372
546000 -8.69004
547000 -9.55372
548000 -9.77849
549000 -7.94219
550000 -8.48175
551000 -7.86845
552000 -9.22619
553000 -15.4008
554000 -11.6609
555000 -8.66673
556000 -10.5013
557000 -7.86069
558000 -6.06193
559000 -8.19192
560000 -7.68945
561000 -8.67388
562000 -7.20145
563000 -7.90236
564000 -8.97751
565000 -8.2898
566000 -9.65001
567000 -13.0482
568000 -12.3298
569000 -11.8004
570000 -6.78567
571000 -7.9987
572000 -10.9436
573000 -10.1825
574000 -14.1152
575000 -13.6995
576000 -15.305
577000 -10.967
578000 -11.87
579000 -11.5378
580000 -13.5294
581000 -11.357
582000 -13.1861
583000 -10.5304
584000 -10.9135
585000 -10.4704
586000 -15.3017
587000 -14.1279
588000 -15.2207
589000 -18.7095
590000 -16.0225
591000 -20.704
592000 -18.6389
593000 -19.6411
594000 -20.8932
595000 -18.0439
596000 -17.2918
597000 -18.4708
598000 -15.9817
599000 -20.6671
600000 -16.4816
601000 -14.1778
602000 -16.2074
603000 -16.2955
604000 -14.798
605000 -13.126
606000 -10.8106
607000 -10.271
608000 -15.295
609000 -12.4573
610000 -10.8218
611000 -11.9926
612000 -11.1706
613000 -8.00154
614000 -7.76627
615000 -5.52733
616000 -8.96015
617000 -9.15547
618000 -9.10314
619000 -12.1187
620000 -12.204
621000 -15.2279
622000 -13.1858
623000 -8.90938
624000 -8.93086
625000 -10.9874
626000 -10.5186
627000 -13.1821
628000 -13.828
629000 -12.3834
630000 -12.024
631000 -12.8299
632000 -13.5848
633000 -11.2673
634000 -16.0878
635000 -13.5525
636000 -12.0526
637000 -14.3553
638000 -14.7708
639000 -16.9665
640000 -14.3536
641000 -16.2564
642000 -18.2376
643000 -18.9624
644000 -17.0212
645000 -20.1663
646000 -16.7864
647000 -16.4181
648000 -13.336
649000 -14.1565
650000 -17.4056
651000 -19.5723
652000 -14.728
653000 -16.3929
654000 -17.2058
655000 -20.0346
656000 -20.4994
657000 -20.5267
658000 -17.2629
659000 -19.4482
660000 -20.0913
661000 -20.5825
662000 -20.8397
663000 -20.9192
664000 -21.5898
665000 -17.5249
666000 -17.9982
667000 -19.5093
668000 -20.0952
669000 -25.6688
670000 -23.6285
671000 -24.983
672000 -20.6444
673000 -21.6917
674000 -22.7988
675000 -22.3641
676000 -26.0408
677000 -26.6237
678000 -25.2525
679000 -25.1398
680000 -22.1286
681000 -20.3998
682000 -22.8825
683000 -21.9058
684000 -23.9925
685000 -16.4724
686000 -18.8106
687000 -18.9323
688000 -20
689000 -19.2861
690000 -15.1843
691000 -15.6706
692000 -15.1671
693000 -16.0181
694000 -18.6908
695000 -20.1295
696000 -20.7341
697000 -21.8246
698000 -19.83
699000 -18.8997
700000 -15.9655
701000 -15.347
702000 -13.781
703000 -14.3505
704000 -13.6217
705000 -15.3949
706000 -15.3789
707000 -13.8552
708000 -13.688
709000 -16.947
710000 -14.1595
711000 -16.7704
712000 -14.4294
713000 -12.7161
714000 -13.9802
715000 -19.0801
716000 -17.4535
717000 -17.1292
718000 -17.2124
719000 -19.8765
720000 -21.4883
721000 -22.3456
722000 -21.1058
723000 -21.1657
724000 -22.5476
725000 -24.9184
726000 -27.1646
727000 -25.4925
728000 -24.0172
729000 -28.0556
730000 -31.3681
731000 -30.8541
732000 -25.2644
733000 -23.4995
734000 -25.8167
735000 -28.6135
736000 -22.0072
737000 -19.3008
738000 -28.7753
739000 -25.109
740000 -28.9675
741000 -27.1186
742000 -24.043
743000 -24.9418
744000 -22.8956
745000 -18.9286
746000 -22.5784
747000 -26.2072
748000 -25.4045
749000 -20.2428
750000 -21.2825
751000 -24.6304
752000 -24.1382
753000 -21.9378
754000 -25.6064
755000 -21.0779
756000 -20.6533
757000 -21.3054
758000 -14.1075
759000 -14.4642
760000 -18.8829
761000 -19.8674
762000 -19.3316
763000 -12.5496
764000 -20.564
765000 -21.8514
766000 -20.2539
767000 -18.196
768000 -18.3775
769000 -18.3782
770000 -17.8229
771000 -14.0364
772000 -12.0799
773000 -12.9965
774000 -14.5073
775000 -16.2376
776000 -16.5049
777000 -11.9793
778000 -9.76374
779000 -5.72914
780000 -5.99035
781000 -7.38579
782000 -10.5408
783000 -11.3348
784000 -8.64186
785000 -8.2408
