# Time-averaged data for fix f_msd
# TimeStep c_c_msd[4]
1000 534.849
2000 882.766
3000 917.886
4000 983.016
5000 1132.16
6000 1247.98
7000 1267.47
8000 1286.78
9000 1298.85
10000 1308.1
11000 1320.52
12000 1333.95
13000 1348.49
14000 1368.52
15000 1377.13
16000 1372.52
17000 1371.57
18000 1372.23
19000 1372.25
20000 1383.23
21000 1388.65
22000 1393.81
23000 1402.38
24000 1412.69
25000 1423.2
26000 1429
27000 1427.15
28000 1421.06
29000 1418.89
30000 1425.35
31000 1436.63
32000 1450.29
33000 1463.32
34000 1477.12
35000 1485.76
36000 1489.05
37000 1488.54
38000 1495.33
39000 1509.85
40000 1508.81
41000 1513.88
42000 1514.77
43000 1512.18
44000 1514.68
45000 1528.16
46000 1543
47000 1555.55
48000 1573.7
49000 1590.61
50000 1595.74
51000 1605.55
52000 1620.03
53000 1627.63
54000 1633.46
55000 1640.36
56000 1648.29
57000 1662.42
58000 1678.02
59000 1694.61
60000 1704.43
61000 1706.73
62000 1703.75
63000 1696.6
64000 1688.55
65000 1687.85
66000 1692.96
67000 1699.96
68000 1689.98
69000 1681.28
70000 1677.89
71000 1679.69
72000 1675.88
73000 1672.69
74000 1675.5
75000 1678.16
76000 1672.26
77000 1671.36
78000 1671.07
79000 1664.63
80000 1656.26
81000 1654.76
82000 1652.72
83000 1652.93
84000 1659.7
85000 1666.54
86000 1676.28
87000 1678.28
88000 1684.91
89000 1699.82
90000 1715.24
91000 1723.14
92000 1729.96
93000 1748.6
94000 1769.39
95000 1778.81
96000 1795.3
97000 1815.12
98000 1817.04
99000 1821.66
100000 1824.5
101000 1826.62
102000 1838.87
103000 1854.2
104000 1861.55
105000 1866.62
106000 1874.28
107000 1878.97
108000 1880.66
109000 1886.27
110000 1894.97
111000 1911.09
112000 1924.06
113000 1939.93
114000 1949.86
115000 1949.8
116000 1942.56
117000 1943.2
118000 1935.94
119000 1922.33
120000 1920.19
121000 1925.92
122000 1934.89
123000 1936.68
124000 1940.98
125000 1947.36
126000 1945.39
127000 1950.64
128000 1968.07
129000 1988.73
130000 2008.31
131000 2010.62
132000 2011.86
133000 2018.58
134000 2031.73
135000 2046.11
136000 2054.69
137000 2048.43
138000 2042.75
139000 2042.04
140000 2034.86
141000 2036.67
142000 2053.44
143000 2069.35
144000 2083.38
145000 2095.14
146000 2101.16
147000 2112.57
148000 2119.24
149000 2115.86
150000 2122.62
151000 2120.02
152000 2121.16
153000 2117.51
154000 2106.86
155000 2093.15
156000 2090.87
157000 2087.26
158000 2084.91
159000 2082.26
160000 2080.87
161000 2078.89
162000 2090.41
163000 2097.86
164000 2108.43
165000 2109.65
166000 2107.89
167000 2111.11
168000 2112.97
169000 2126.55
170000 2137.43
171000 2145.47
172000 2150.95
173000 2161.56
174000 2173.15
175000 2171.21
176000 2178.84
177000 2181.14
178000 2187.18
179000 2194.39
180000 2199.61
181000 2206.4
182000 2219.05
183000 2229.21
184000 2245.95
185000 2266.17
186000 2279.23
187000 2294.66
188000 2308.35
189000 2319.27
190000 2328.8
191000 2333.31
192000 2331.76
193000 2331.26
194000 2334.52
195000 2337.98
196000 2335.74
197000 2336.04
198000 2334.98
199000 2334.21
200000 2340.28
201000 2349.27
202000 2353.76
203000 2353.81
204000 2361.15
205000 2370.61
