# Time-averaged data for fix f_shear
# TimeStep v_shear_stress
206000 -3.35053
207000 -4.00951
208000 1.73601
209000 -2.66083
210000 -2.24683
211000 1.0744
212000 -4.24975
213000 -1.81964
214000 -1.40631
215000 -1.85202
216000 -3.02814
217000 -2.37279
218000 -1.31933
219000 -3.63148
220000 -1.34559
221000 -1.89762
222000 -2.20103
223000 -2.79995
224000 -4.41652
225000 -2.82153
226000 -4.09464
227000 -4.41592
228000 -2.11527
229000 -2.15329
230000 -4.2569
231000 -4.77863
232000 -7.48732
233000 -8.49067
234000 -6.30986
235000 -7.05665
236000 -6.73207
237000 -4.55902
238000 -6.4445
239000 -8.95694
240000 -8.78008
241000 -3.34878
242000 -3.32141
243000 -2.8335
244000 -3.62689
245000 -2.72868
246000 -4.16978
247000 -3.22287
248000 -2.11836
249000 -1.38506
250000 3.04394
251000 1.88383
252000 0.221214
253000 -0.626691
254000 -1.67946
255000 -1.50355
256000 -2.94425
257000 0.760103
258000 -0.955054
259000 -3.38892
260000 -1.88743
261000 -0.370761
262000 -0.0219088
263000 -2.90401
264000 -2.17517
265000 0.533949
266000 0.289874
267000 1.98729
268000 -2.32954
269000 1.6578
270000 3.37263
271000 0.936149
272000 -0.0358807
273000 1.01891
274000 0.717
275000 0.0352185
276000 0.572105
277000 1.03746
278000 4.29815
279000 2.46813
280000 0.192906
281000 0.28006
282000 1.84022
283000 3.78006
284000 2.97221
285000 -1.27793
286000 -3.08552
287000 0.741634
288000 -0.261444
289000 0.437734
290000 -2.55784
291000 0.280431
292000 2.91761
293000 -0.534324
294000 1.44777
295000 0.0435038
296000 1.43622
297000 0.0693475
298000 3.23177
299000 0.240033
300000 1.86688
301000 -0.977419
302000 -0.137247
303000 2.09866
304000 4.57786
305000 3.09458
306000 2.10219
307000 -2.81008
308000 -0.124727
309000 -2.62181
310000 -3.99488
311000 0.57735
312000 0.491298
313000 3.194
314000 1.85444
315000 -0.420863
316000 -0.0137992
317000 -1.48612
318000 -1.58128
319000 -2.16365
320000 -0.279529
321000 0.434931
322000 0.915078
323000 0.49055
324000 -0.699084
325000 -2.90552
326000 -0.379498
327000 3.11377
328000 3.15691
329000 1.90466
330000 3.2307
331000 2.46327
332000 2.54731
333000 2.26031
334000 1.14401
335000 2.42846
336000 3.51997
337000 3.66634
338000 3.41615
339000 4.95807
340000 3.66459
341000 -0.168151
342000 2.41757
343000 4.61641
344000 2.23729
345000 3.96772
346000 5.54339
347000 6.35718
348000 7.97039
349000 7.93895
350000 5.05516
351000 5.12453
352000 4.65394
353000 6.28828
354000 9.31289
355000 6.77537
356000 7.53739
357000 7.2083
358000 9.20125
359000 7.86631
360000 7.29688
361000 6.21302
362000 7.40233
363000 8.12616
364000 6.23257
365000 5.78991
366000 7.00314
367000 10.126
368000 9.68281
369000 9.24606
370000 8.31935
371000 3.67968
372000 4.06487
373000 1.41398
374000 4.62268
375000 3.3429
376000 1.563
377000 -1.2285
378000 0.760056
379000 1.25231
380000 3.24847
381000 0.226438
382000 -2.05893
383000 -2.52266
384000 -1.665
385000 -1.10284
386000 -3.73131
387000 -2.43265
388000 -2.90506
389000 -1.9626
390000 -2.49786
391000 -1.32204
392000 -2.62042
393000 -1.16536
394000 -0.662234
395000 2.63756
396000 3.14194
397000 -0.288134
398000 -0.401647
399000 1.2189
400000 0.979015
401000 -2.58097
402000 0.0285744
403000 -3.28991
404000 -3.59653
405000 -0.383691
406000 -5.1564
407000 -7.32548
408000 -5.5345
409000 -3.04105
410000 -3.25508
411000 -8.53777
412000 -5.5702
413000 -5.92398
414000 -4.72703
415000 -0.0906037
416000 0.329341
417000 1.88535
418000 -2.97318
419000 -3.41223
420000 -8.1578
421000 -6.83204
422000 -6.33564
423000 -5.44812
424000 -4.5557
425000 -6.14397
426000 -3.50503
427000 -4.62051
428000 -4.37057
429000 -2.99615
430000 -1.44982
431000 -1.35169
432000 1.19442
433000 -0.968865
434000 -2.97643
435000 -5.10505
436000 -7.21702
437000 -9.00218
438000 -7.28211
439000 -6.52156
440000 -4.85369
441000 -5.86653
442000 -2.74456
443000 -1.28424
444000 -2.30071
445000 -4.01678
446000 -0.923962
447000 -5.51164
448000 -2.45016
449000 -2.09804
450000 -2.22807
451000 -2.67922
452000 -1.16367
453000 0.175509
454000 -0.704426
455000 0.131732
456000 -1.54323
457000 -3.29779
458000 -4.37436
459000 -4.09954
460000 -4.10577
461000 -3.89525
462000 -3.08688
463000 -3.93136
464000 -0.382723
465000 1.77283
466000 0.859715
467000 -1.16818
468000 0.234807
469000 3.28681
470000 -1.17552
471000 -0.139811
472000 -0.0697409
473000 -5.40381
474000 -4.68182
475000 -4.80003
476000 -2.14057
477000 -4.07611
478000 -0.96917
