# Time-averaged data for fix f_msd
# TimeStep c_c_msd[4]
1000 542.856
2000 896.233
3000 920.909
4000 926.593
5000 1097.8
6000 1197.01
7000 1203.85
8000 1206.57
9000 1208.1
10000 1214.19
11000 1217.34
12000 1219.38
13000 1224.92
14000 1230.79
15000 1236.43
16000 1247.71
17000 1266.19
18000 1281.59
19000 1297.54
20000 1313.37
21000 1330.89
22000 1345.4
23000 1357.47
24000 1371.87
25000 1384.83
26000 1391.46
27000 1393.98
28000 1394.51
29000 1391.48
30000 1393.77
31000 1396.93
32000 1401.73
33000 1397.15
34000 1392.21
35000 1395.58
36000 1400.75
37000 1414.28
38000 1418.21
39000 1417.51
40000 1422.29
41000 1421.52
42000 1423.14
43000 1428.41
44000 1433.85
45000 1444.86
46000 1458.49
47000 1465.59
48000 1473.37
49000 1491.56
50000 1499.99
51000 1509.37
52000 1514.16
53000 1523.73
54000 1522.32
55000 1520.93
56000 1518.66
57000 1514.05
58000 1508.62
59000 1507.84
60000 1503.4
61000 1507.37
62000 1514.81
63000 1521.97
64000 1521.15
65000 1527.69
66000 1536.45
67000 1539.97
68000 1542.5
69000 1548.29
70000 1554.55
71000 1554.39
72000 1551.04
73000 1557.12
74000 1564.94
75000 1570.38
76000 1574.85
77000 1568.56
78000 1560.14
79000 1549.16
80000 1543.81
81000 1536.67
82000 1531.91
83000 1531.87
84000 1534.19
85000 1542.47
86000 1553.1
87000 1555.57
88000 1555.5
89000 1562.06
90000 1574.6
91000 1580.81
92000 1583.02
93000 1588.43
94000 1601.96
95000 1608.07
96000 1607.25
97000 1607.32
98000 1615.41
99000 1625.16
100000 1634.26
101000 1647.02
102000 1653.89
103000 1656.19
104000 1662.89
105000 1670.83
106000 1677.53
107000 1677.96
108000 1680.52
109000 1689.91
110000 1692.27
111000 1693.37
112000 1696.34
113000 1700.49
114000 1713.02
115000 1722.23
116000 1726.18
117000 1728.53
118000 1729.32
119000 1739.42
120000 1744.8
121000 1746.34
122000 1747.24
123000 1751.88
124000 1763.86
125000 1782.3
126000 1798.58
127000 1819.16
128000 1831.37
129000 1838.79
130000 1844.53
131000 1846.09
132000 1847.87
133000 1859
134000 1879.1
135000 1897.55
136000 1911.62
137000 1928.52
138000 1942.75
139000 1954.53
140000 1963.15
141000 1968.6
142000 1972.71
143000 1981.12
144000 1993.43
145000 2015.42
146000 2030.26
147000 2042.47
148000 2039.79
149000 2047.73
150000 2055.01
151000 2056.46
152000 2065.29
153000 2072.82
154000 2084.22
155000 2098.15
156000 2098.01
157000 2114.13
158000 2127.29
159000 2132.77
160000 2143.63
161000 2149.42
162000 2155.23
163000 2161.68
164000 2169.48
165000 2179.8
166000 2185.95
167000 2191.8
168000 2189.88
169000 2177
170000 2174.15
171000 2179.76
172000 2178
173000 2178.4
174000 2181.85
175000 2184.6
176000 2183.45
177000 2178.25
178000 2173.58
179000 2174.39
180000 2169.94
181000 2160.76
182000 2155.26
183000 2161.01
184000 2172.96
185000 2190.29
186000 2200.58
187000 2208.03
188000 2226.75
189000 2241.06
190000 2246.44
191000 2260.5
192000 2269.42
193000 2279.87
194000 2297.08
195000 2306.19
196000 2310.16
197000 2312.75
198000 2299.21
199000 2292.55
200000 2304.71
201000 2307.65
202000 2311
203000 2320.32
204000 2326.94
205000 2339.34
