# Time-averaged data for fix f_msd
# TimeStep c_c_msd[4]
1000 542.442
2000 938.626
3000 974.657
4000 992.937
5000 1160.34
6000 1269.95
7000 1286.48
8000 1301.24
9000 1313.12
10000 1317.03
11000 1321.54
12000 1334.75
13000 1351.8
14000 1372.38
15000 1395.74
16000 1415.69
17000 1430.77
18000 1445.14
19000 1458.97
20000 1468.2
21000 1481.72
22000 1497.22
23000 1508.44
24000 1514.78
25000 1519.83
26000 1525.94
27000 1530.87
28000 1533.59
29000 1543.16
30000 1543.22
31000 1545.96
32000 1541.91
33000 1536.3
34000 1542.47
35000 1552.05
36000 1560.9
37000 1559.58
38000 1558.38
39000 1560.45
40000 1567.69
41000 1574.31
42000 1579.45
43000 1580.16
44000 1581.25
45000 1589.09
46000 1601.31
47000 1610.25
48000 1619.4
49000 1630.83
50000 1631.32
51000 1639.91
52000 1657.3
53000 1658.18
54000 1657.14
55000 1668.34
56000 1683.61
57000 1693.81
58000 1706.27
59000 1718.57
60000 1730.57
61000 1741.59
62000 1762.67
63000 1785.69
64000 1806.19
65000 1831.35
66000 1851.55
67000 1867.72
68000 1886.25
69000 1893.68
70000 1891.69
71000 1894.76
72000 1904.93
73000 1915.98
74000 1918.56
75000 1927.03
76000 1927.41
77000 1926.54
78000 1922.26
79000 1914.49
80000 1918.17
81000 1922.74
82000 1916.88
83000 1907.57
84000 1904.03
85000 1909.77
86000 1924.98
87000 1936.21
88000 1953.35
89000 1955.71
90000 1964.36
91000 1973.11
92000 1972.01
93000 1980.19
94000 1996.43
95000 2002
96000 2010.37
97000 2021.7
98000 2021.51
99000 2020.36
100000 2023.57
101000 2022.76
102000 2030.24
103000 2028.91
104000 2030.42
105000 2039.38
106000 2043.94
107000 2039.76
108000 2031.67
109000 2025.73
110000 2024.04
111000 2037.12
112000 2040.3
113000 2038.3
114000 2037.8
115000 2033.3
116000 2025.95
117000 2016.86
118000 2008.93
119000 2001.36
120000 2009.74
121000 2025.68
122000 2035.93
123000 2037.26
124000 2027.58
125000 2024.5
126000 2028.32
127000 2037.11
128000 2047.23
129000 2065.53
130000 2083.16
131000 2099.03
132000 2110.72
133000 2114.51
134000 2125.62
135000 2135.59
136000 2133.86
137000 2137.2
138000 2136.88
139000 2129.59
140000 2120.13
141000 2118.24
142000 2122.18
143000 2123.14
144000 2119.81
145000 2119.05
146000 2116.95
147000 2114.6
148000 2110.85
149000 2112.85
150000 2097.27
151000 2096.36
152000 2101.24
153000 2099.64
154000 2096.55
155000 2106.27
156000 2116.64
157000 2125.1
158000 2128.16
159000 2124.26
160000 2124.39
161000 2125.23
162000 2127.64
163000 2124.6
164000 2112.52
165000 2111.55
166000 2122.49
167000 2134.64
168000 2140.64
169000 2146.7
170000 2148.84
171000 2147.08
172000 2155.38
173000 2155.65
174000 2152.77
175000 2146.09
176000 2141.71
177000 2133.43
178000 2135.86
179000 2128.37
180000 2126.98
181000 2130.27
182000 2115.96
183000 2096.17
184000 2095.98
185000 2099.8
186000 2105.3
187000 2120.29
188000 2127.09
189000 2129.66
190000 2133.02
191000 2140.56
192000 2159.06
193000 2182.74
194000 2203.59
195000 2211.35
196000 2215.71
197000 2230.03
198000 2248.86
199000 2263.7
200000 2270.11
201000 2269.87
202000 2264.94
203000 2261.8
204000 2266.37
205000 2280.14
