# Time-averaged data for fix f_shear
# TimeStep v_shear_stress
206000 -11.9842
207000 5.38376
208000 2.25851
209000 -1.05151
210000 4.16887
211000 -4.0298
212000 -4.09
213000 2.21475
214000 0.283257
215000 5.77117
216000 -2.26577
217000 -1.41402
218000 -0.794953
219000 2.92432
220000 -1.25124
221000 -5.29683
222000 1.03081
223000 -1.36489
224000 -0.0387473
225000 0.118825
226000 -2.45232
227000 -2.2108
228000 -0.83304
229000 -0.100372
230000 0.549515
231000 0.52383
232000 2.50476
233000 3.70201
234000 3.24227
235000 5.09737
236000 2.12801
237000 3.39559
238000 1.6908
239000 1.79161
240000 -0.738023
241000 -2.40629
242000 -0.669321
243000 1.05433
244000 2.60963
245000 3.82276
246000 3.88412
247000 5.75598
248000 4.37344
249000 2.18227
250000 3.63437
251000 4.09582
252000 2.17962
253000 0.152813
254000 -2.05608
255000 -0.752781
256000 -2.53163
257000 -0.2137
258000 1.22956
259000 -2.59353
260000 -4.34507
261000 -1.58583
262000 0.893981
263000 -2.71183
264000 -0.557108
265000 -2.70811
266000 0.190592
267000 -4.15691
268000 3.07399
269000 -0.468501
270000 0.928968
271000 -1.11975
272000 -0.38355
273000 4.91687
274000 0.882553
275000 -1.53816
276000 -2.75148
277000 -1.6489
278000 -1.40156
279000 -1.05467
280000 -1.91567
281000 -0.370202
282000 -0.182114
283000 -5.30142
284000 -3.30802
285000 -2.7865
286000 -1.78215
287000 -2.55312
288000 -0.826785
289000 -0.458075
290000 1.81471
291000 -2.11764
292000 3.77482
293000 3.23104
294000 0.429433
295000 2.46173
296000 2.64001
297000 -2.94741
298000 -1.08855
299000 1.03199
300000 -3.32385
301000 -2.99363
302000 -0.267194
303000 -5.10271
304000 -4.61369
305000 -6.82722
306000 -1.03355
307000 -6.36375
308000 -5.99122
309000 -5.33541
310000 -10.5794
311000 -10.4482
312000 -8.30895
313000 -11.6759
314000 -15.8711
315000 -11.6721
316000 -9.10205
317000 -6.25288
318000 -5.63502
319000 -6.84644
320000 -7.20518
321000 -5.98736
322000 -7.78452
323000 -7.15232
324000 -8.83801
325000 -7.96254
326000 -10.1935
327000 -7.49436
328000 -8.16566
329000 -3.06344
330000 -8.22015
331000 -3.6348
332000 -13.3017
333000 -9.94774
334000 -7.89773
335000 -6.45611
336000 -2.80225
337000 -5.14971
338000 -5.33401
339000 -5.46305
340000 -4.95236
341000 -5.83969
342000 -5.52999
343000 -9.05272
344000 -6.4014
345000 -7.71977
346000 -3.99553
347000 -6.38945
348000 -5.29876
349000 -5.74603
350000 -3.57249
351000 -5.40709
352000 -4.63452
353000 -5.52612
354000 -6.72126
355000 -3.49836
356000 -4.22686
357000 -4.25474
358000 -1.0197
359000 -0.48651
360000 2.26583
361000 0.0102672
362000 -0.0160581
363000 -3.54967
364000 1.33698
365000 0.5316
366000 -0.179229
367000 -0.814888
368000 4.07057
369000 2.04445
370000 -2.02206
371000 -0.482519
372000 -1.71543
373000 1.30451
374000 -4.63987
375000 1.78717
376000 1.67751
377000 2.3221
378000 -2.20981
379000 -0.137701
380000 -0.425547
381000 -3.22282
382000 -2.01952
383000 -1.02496
384000 -1.54492
385000 -2.77851
386000 -4.72933
387000 -4.04268
388000 -1.44921
389000 -4.0245
390000 -0.427251
391000 -2.40796
392000 -1.90605
393000 -0.0476404
394000 -6.07628
395000 -4.6116
396000 -3.77768
397000 -5.56541
398000 -7.70416
399000 -4.53503
400000 -2.14503
401000 -2.90037
402000 -5.27576
403000 -6.48429
404000 -2.62071
405000 -0.79433
406000 -4.9959
407000 -5.74493
408000 -1.25899
409000 -5.26882
410000 -4.30354
411000 -5.92136
412000 -6.47874
413000 -3.402
414000 0.0301026
415000 -2.35708
416000 -5.41931
417000 -4.24204
418000 -1.49587
419000 -2.21518
420000 -0.498439
421000 3.11535
422000 0.190702
423000 -2.15755
424000 0.92766
425000 -1.88465
426000 -2.19233
427000 -1.75934
428000 -1.22544
429000 -2.85117
430000 -0.341732
431000 0.114786
432000 -1.98722
433000 1.52179
434000 3.82449
435000 1.31582
436000 3.90102
437000 4.02454
438000 1.27237
439000 1.67661
440000 -0.566024
441000 -3.75736
442000 -2.40242
443000 1.84359
444000 3.70776
445000 -0.098923
446000 -1.43473
447000 -1.03859
448000 3.70682
449000 2.86777
450000 2.04713
451000 6.21755
452000 2.08644
453000 2.82023
454000 0.909267
455000 5.95674
456000 3.06563
457000 4.7994
458000 0.978014
459000 2.27645
460000 3.60722
461000 5.13634
462000 3.198
463000 5.38849
464000 4.05719
465000 7.20765
466000 5.92079
467000 2.15638
468000 3.00487
469000 2.05058
470000 5.05321
471000 7.2824
472000 5.33462
473000 5.35284
474000 4.38456
475000 7.95891
476000 5.20891
477000 8.18271
478000 9.63752
479000 4.54341
480000 8.34319
481000 4.24691
482000 3.86674
483000 2.94757
484000 3.44453
485000 2.43641
486000 1.54749
487000 5.11168
488000 2.05118
489000 2.66275
490000 5.35949
491000 4.7796
492000 5.01162
493000 0.968073
494000 1.30702
495000 4.73489
496000 2.29504
497000 1.82121
498000 4.82663
499000 2.85317
500000 0.588556
501000 0.910319
502000 0.990388
503000 -0.982274
504000 1.74586
505000 2.75046
506000 1.92985
507000 2.0893
508000 0.914727
509000 1.17666
510000 0.261843
511000 4.13433
512000 0.761902
513000 0.690912
514000 0.721229
515000 3.0291
516000 3.41704
517000 0.66958
518000 2.84531
519000 7.51913
520000 6.58755
521000 4.72257
522000 7.58037
523000 4.36062
524000 2.24703
525000 8.70122
526000 7.37788
527000 8.03048
528000 4.53318
529000 7.54086
530000 5.96241
531000 8.45076
532000 6.52689
533000 10.067
534000 11.6899
535000 9.90916
536000 7.67859
537000 3.58736
538000 10.8319
539000 5.83322
540000 7.58965
541000 8.62351
542000 6.23153
543000 8.86929
544000 6.55236
545000 6.82536
546000 7.37826
547000 5.42005
548000 5.87647
549000 4.97908
550000 5.20744
551000 6.5166
552000 5.341
553000 5.85411
554000 4.51809
555000 9.24499
556000 8.51695
557000 9.04645
558000 6.03584
559000 8.21595
560000 8.60346
561000 9.78766
562000 6.14126
563000 7.41284
564000 8.64163
565000 7.79624
566000 10.3428
567000 11.5337
568000 5.86526
569000 2.53776
570000 7.10693
571000 5.05302
572000 6.09729
573000 3.91168
574000 8.1716
575000 11.0008
576000 8.81676
577000 6.95483
578000 8.36471
579000 7.34988
580000 5.31652
581000 8.90505
582000 5.5379
583000 5.47236
584000 7.21526
585000 8.3555
586000 6.98231
587000 5.39937
588000 4.06281
589000 1.33601
590000 2.75604
591000 3.82466
592000 1.34304
593000 3.43212
594000 2.75638
595000 1.79197
596000 1.84893
597000 0.688154
598000 -1.46178
599000 0.783764
600000 2.92908
601000 5.95893
602000 3.85
603000 2.48212
604000 3.84277
605000 4.8532
606000 5.52206
607000 4.12912
608000 5.36815
609000 4.89551
610000 4.90163
611000 3.21008
612000 3.39088
613000 3.76642
614000 -0.143416
615000 -2.20634
616000 0.422042
617000 2.49904
618000 1.79701
619000 4.18089
620000 4.89232
621000 4.54148
622000 4.34275
623000 3.64101
624000 1.01626
625000 5.79845
626000 6.11392
627000 4.47155
628000 8.85085
629000 4.27681
630000 0.969735
631000 1.80639
632000 3.05355
633000 3.69277
634000 4.34356
635000 -1.46282
636000 3.62148
637000 1.30635
638000 2.10131
639000 0.949307
640000 0.847115
641000 -1.00305
642000 0.53611
643000 2.75601
644000 1.70794
645000 3.25358
646000 5.06343
647000 3.26716
