# Time-averaged data for fix f_msd
# TimeStep c_c_msd[4]
1000 517.296
2000 861.344
3000 935.899
4000 956.529
5000 1065.43
6000 1152.7
7000 1162.55
8000 1172.22
9000 1181.37
10000 1189.8
11000 1205.97
12000 1217.29
13000 1225.36
14000 1229.87
15000 1237.82
16000 1240.01
17000 1247.65
18000 1254.85
19000 1257.07
20000 1255.42
21000 1254.41
22000 1252.12
23000 1254.2
24000 1246.02
25000 1243.1
26000 1245.41
27000 1249.96
28000 1259.53
29000 1274.7
30000 1286.19
31000 1289.6
32000 1291.48
33000 1295.68
34000 1302.26
35000 1313.56
36000 1324.22
37000 1333.52
38000 1346.78
39000 1363.14
40000 1384.24
41000 1401.48
42000 1408.29
43000 1412.4
44000 1410.99
45000 1405.62
46000 1405.92
47000 1409.16
48000 1409.27
49000 1405.08
50000 1404.97
51000 1416.77
52000 1435.64
53000 1447.57
54000 1456.42
55000 1463.09
56000 1471.19
57000 1488.79
58000 1501.41
59000 1506.4
60000 1510.85
61000 1519.37
62000 1523.7
63000 1532.47
64000 1542.19
65000 1545.41
66000 1549.54
67000 1545.92
68000 1546.81
69000 1555.65
70000 1555.68
71000 1556.33
72000 1560.58
73000 1565.89
74000 1570.75
75000 1576.4
76000 1585.16
77000 1591.72
78000 1594.22
79000 1589.79
80000 1586.62
81000 1589
82000 1592.95
83000 1600.79
84000 1611.93
85000 1613.74
86000 1619.72
87000 1634.88
88000 1640.19
89000 1638.4
90000 1636.38
91000 1632.94
92000 1628.05
93000 1623.37
94000 1625.86
95000 1626
96000 1633.25
97000 1635.22
98000 1639.31
99000 1638.62
100000 1644.41
101000 1643.61
102000 1653.96
103000 1660.77
104000 1666.03
105000 1662.71
106000 1663.97
107000 1666.48
108000 1675.77
109000 1692.52
110000 1714
111000 1729.24
112000 1741.14
113000 1743.6
114000 1756.06
115000 1768.78
116000 1776.93
117000 1776.24
118000 1788.36
119000 1798.46
120000 1809.87
121000 1820.65
122000 1836.04
123000 1838.57
124000 1834.72
125000 1834.35
126000 1832.99
127000 1844.96
128000 1850.9
129000 1858.06
130000 1860.19
131000 1868.58
132000 1886.18
133000 1897.82
134000 1910.26
135000 1914.77
136000 1914.67
137000 1920.84
138000 1924.76
139000 1929.89
140000 1930.45
141000 1935.4
142000 1945.08
143000 1944.1
144000 1934.74
145000 1925.76
146000 1931.21
147000 1933.01
148000 1945.48
149000 1955.41
150000 1962.01
151000 1965.68
152000 1971.08
153000 1967.38
154000 1963.81
155000 1960.09
156000 1949.22
157000 1944.02
158000 1945.24
159000 1948.54
160000 1949.38
161000 1948.46
162000 1945.48
163000 1948.18
164000 1955.78
165000 1956.32
166000 1952.23
167000 1960.83
168000 1966.93
169000 1966.25
170000 1962.84
171000 1961.52
172000 1962.41
173000 1964.79
174000 1963.38
175000 1954.14
176000 1939.14
177000 1927.84
178000 1925.57
179000 1918.3
180000 1916.43
181000 1911.8
182000 1920.91
183000 1927.9
184000 1930.05
185000 1931.8
186000 1931.71
187000 1931.98
188000 1937.66
189000 1938.1
190000 1928.66
191000 1919.96
192000 1926.63
193000 1924.76
194000 1921.31
195000 1917.59
196000 1921.57
197000 1922.9
198000 1924.51
199000 1925.38
200000 1928.5
201000 1925.89
202000 1929.86
203000 1938.7
204000 1943.96
205000 1942.54
