# Time-averaged data for fix f_msd
# TimeStep c_c_msd[4]
1000 529.173
2000 866.037
3000 922.74
4000 979.046
5000 1119.95
6000 1203.77
7000 1204.02
8000 1201.7
9000 1206.42
10000 1212.03
11000 1217.75
12000 1219.29
13000 1223.91
14000 1234.53
15000 1236.11
16000 1245.64
17000 1259.78
18000 1267.99
19000 1275.28
20000 1286.54
21000 1296.87
22000 1306.68
23000 1313.7
24000 1323.61
25000 1327.44
26000 1342.51
27000 1357.48
28000 1369.92
29000 1376.95
30000 1396.24
31000 1415.52
32000 1431.86
33000 1449.34
34000 1463.35
35000 1475.98
36000 1496.72
37000 1513.32
38000 1532.75
39000 1552.56
40000 1559.4
41000 1569.68
42000 1583.65
43000 1597.62
44000 1606.03
45000 1621.83
46000 1628.1
47000 1629.43
48000 1627.27
49000 1622.6
50000 1628.38
51000 1638.83
52000 1650.13
53000 1673.23
54000 1702.31
55000 1715.04
56000 1714.32
57000 1719.68
58000 1725.08
59000 1733.74
60000 1737.54
61000 1747.15
62000 1754
63000 1757.71
64000 1766.07
65000 1775.66
66000 1784.2
67000 1794.2
68000 1807.67
69000 1828.72
70000 1846.98
71000 1850.56
72000 1862.46
73000 1870.39
74000 1877.77
75000 1883.68
76000 1872.15
77000 1870.71
78000 1863.28
79000 1863.69
80000 1863.18
81000 1861.43
82000 1864.28
83000 1866.3
84000 1865.8
85000 1870.76
86000 1878.57
87000 1886.88
88000 1893.37
89000 1902.32
90000 1918.97
91000 1931.34
92000 1947.63
93000 1963.16
94000 1978.29
95000 1995.11
96000 2020.02
97000 2043.49
98000 2053.28
99000 2056.13
100000 2057.09
101000 2059.88
102000 2061.46
103000 2066.56
104000 2079.97
105000 2076.89
106000 2073.92
107000 2074.16
108000 2075.45
109000 2069.69
110000 2073.42
111000 2078.39
112000 2079.4
113000 2072.41
114000 2071.81
115000 2081.14
116000 2093.52
117000 2101.27
118000 2093.4
119000 2090.13
120000 2094.08
121000 2105.41
122000 2112.88
123000 2116.71
124000 2119.14
125000 2118.73
126000 2130.36
127000 2140.34
128000 2150.73
129000 2158.75
130000 2168.73
131000 2176.26
132000 2185.37
133000 2199.43
134000 2216.82
135000 2232.69
136000 2241.63
137000 2240.69
138000 2234.07
139000 2241.99
140000 2260.14
141000 2265.47
142000 2274.97
143000 2272.55
144000 2271.36
145000 2273.15
146000 2273.95
147000 2269.91
148000 2272.37
149000 2285.35
150000 2289.5
151000 2285.47
152000 2287.14
153000 2284.03
154000 2283.44
155000 2289.87
156000 2288.36
157000 2293
158000 2302.32
159000 2315.04
160000 2308.8
161000 2294.18
162000 2284.56
163000 2271.14
164000 2270.05
165000 2273.94
166000 2280.1
167000 2283.12
168000 2293.07
169000 2291.93
170000 2294.6
171000 2304.89
172000 2316.15
173000 2321.1
174000 2330.43
175000 2333.18
176000 2336.58
177000 2333.25
178000 2321.83
179000 2308.86
180000 2300.04
181000 2298.11
182000 2289.79
183000 2281.88
184000 2281.16
185000 2286.37
186000 2286.74
187000 2300.09
188000 2301.6
189000 2290.93
190000 2272.07
191000 2256.91
192000 2253.94
193000 2258.68
194000 2271.56
195000 2278.14
196000 2287.61
197000 2300.99
198000 2314.91
199000 2319.9
200000 2323.82
201000 2328.89
202000 2337.11
203000 2344.44
204000 2351.98
205000 2350.76
