# Time-averaged data for fix f_msd
# TimeStep c_c_msd[4]
1000 537.356
2000 863.707
3000 937.528
4000 1001.04
5000 1144.94
6000 1243.06
7000 1264.22
8000 1278.12
9000 1287.75
10000 1306.44
11000 1321.38
12000 1330.19
13000 1338.95
14000 1349.05
15000 1350.22
16000 1350.55
17000 1355.95
18000 1365.48
19000 1376.91
20000 1392.24
21000 1408.01
22000 1421.85
23000 1436.73
24000 1453.17
25000 1467.46
26000 1474.14
27000 1474.25
28000 1478
29000 1482.96
30000 1488.49
31000 1497.7
32000 1505.18
33000 1517.73
34000 1531.75
35000 1544.51
36000 1559.02
37000 1574.98
38000 1592.27
39000 1609.27
40000 1622.42
41000 1638.89
42000 1653.66
43000 1665.49
44000 1685.21
45000 1706.33
46000 1711.27
47000 1712.29
48000 1713.43
49000 1719.75
50000 1721.39
51000 1732.74
52000 1737.39
53000 1743.47
54000 1758.79
55000 1770.97
56000 1769.02
57000 1770.12
58000 1781.67
59000 1795.19
60000 1801.64
61000 1818.62
62000 1830.12
63000 1841.88
64000 1852.98
65000 1862.91
66000 1870.3
67000 1882.56
68000 1902.78
69000 1912.68
70000 1907.7
71000 1895.96
72000 1900.08
73000 1903.18
74000 1912.21
75000 1921.81
76000 1927.53
77000 1937.65
78000 1939.79
79000 1936.01
80000 1932.82
81000 1933.37
82000 1936.88
83000 1937.64
84000 1938.38
85000 1945.31
86000 1957.8
87000 1972.79
88000 1978.03
89000 1976.82
90000 1981.16
91000 1982.89
92000 1985.45
93000 1988.94
94000 1997.76
95000 2011.35
96000 2002.11
97000 1993.27
98000 1995.4
99000 2002.07
100000 2008.42
101000 2026.04
102000 2031.07
103000 2026.15
104000 2017.76
105000 2013.36
106000 2012.73
107000 2005.95
108000 2007.91
109000 2007.69
110000 2015.83
111000 2015.03
112000 2012.58
113000 2008.96
114000 2000.86
115000 1994.35
116000 1979.32
117000 1968.84
118000 1975.01
119000 1985.81
120000 1991.38
121000 1995.5
122000 2001.48
123000 2003.47
124000 2010.95
125000 2020.34
126000 2023.8
127000 2029.47
128000 2033.92
129000 2037.05
130000 2040.38
131000 2038.5
132000 2042.89
133000 2049.39
134000 2056.01
135000 2056.18
136000 2062.51
137000 2062.03
138000 2063.56
139000 2062.41
140000 2054.93
141000 2044.48
142000 2031.87
143000 2026.44
144000 2019.84
145000 2012.87
146000 2013.41
147000 2012.61
148000 2012.02
149000 2009.38
150000 2005.22
151000 2005.78
152000 2006.56
153000 2017.31
154000 2026.53
155000 2026.33
156000 2028.41
157000 2027.29
158000 2031.25
159000 2034.19
160000 2035.49
161000 2030.8
162000 2018.65
163000 2013.39
164000 2020.19
165000 2023.23
166000 2022.88
167000 2029.57
168000 2033.78
169000 2042.41
170000 2047.21
171000 2059.8
172000 2070.98
173000 2079.82
174000 2087.34
175000 2089.35
176000 2093.63
177000 2101.37
178000 2106.71
179000 2115.19
180000 2121.25
181000 2125.26
182000 2127.75
183000 2133.53
184000 2138.45
185000 2132.2
186000 2125.72
187000 2123.15
188000 2122.2
189000 2133.72
190000 2148.99
191000 2161.8
192000 2174.56
193000 2175.41
194000 2171.5
195000 2180.46
196000 2192.58
197000 2195.15
198000 2192.13
199000 2186.59
200000 2194.95
201000 2209.08
202000 2216.05
203000 2218.75
204000 2224.44
205000 2223.69
