# Time-averaged data for fix f_msd
# TimeStep c_c_msd[4]
1000 554.21
2000 903.839
3000 999.598
4000 1071.33
5000 1231.37
6000 1359.93
7000 1376.68
8000 1380.14
9000 1380.88
10000 1394.12
11000 1399.16
12000 1410.54
13000 1421.34
14000 1435.11
15000 1443.6
16000 1448.54
17000 1454.02
18000 1468.88
19000 1484.08
20000 1492.64
21000 1496.81
22000 1502.2
23000 1509.9
24000 1517.7
25000 1524.44
26000 1537.04
27000 1556.32
28000 1567.93
29000 1588.67
30000 1602.02
31000 1610.84
32000 1616.2
33000 1625.93
34000 1638.48
35000 1647.26
36000 1653.73
37000 1658.35
38000 1667.52
39000 1677.99
40000 1691.91
41000 1699.4
42000 1696.55
43000 1695.05
44000 1696.15
45000 1698.84
46000 1701.26
47000 1714.1
48000 1725.28
49000 1735.46
50000 1752.59
51000 1771.13
52000 1793.34
53000 1820.64
54000 1842.39
55000 1872.13
56000 1895.21
57000 1904.94
58000 1915.22
59000 1917.28
60000 1911.25
61000 1899.03
62000 1898.46
63000 1904.99
64000 1906.33
65000 1915.39
66000 1920.31
67000 1915.14
68000 1926.18
69000 1938.1
70000 1949.08
71000 1962.86
72000 1981.56
73000 1997.39
74000 2011.36
75000 2024.6
76000 2036.51
77000 2040.49
78000 2044.24
79000 2051.15
80000 2061.7
81000 2077.76
82000 2083.77
83000 2083.85
84000 2081.55
85000 2076.09
86000 2078.23
87000 2080.52
88000 2089.48
89000 2082.09
90000 2089.37
91000 2097.76
92000 2100.82
93000 2098.17
94000 2096.5
95000 2096.79
96000 2102.54
97000 2109.92
98000 2115.71
99000 2115
100000 2119.62
101000 2134.06
102000 2147.32
103000 2159.15
104000 2170.91
105000 2182.29
106000 2203.81
107000 2218.48
108000 2233.06
109000 2241.16
110000 2256.08
111000 2261.66
112000 2261.2
113000 2266.13
114000 2279.94
115000 2294.24
116000 2301.8
117000 2306.18
118000 2311.28
119000 2326.93
120000 2343.74
121000 2361.65
122000 2383.25
123000 2396.25
124000 2403.63
125000 2406.95
126000 2407.2
127000 2407.27
128000 2413.31
129000 2427.28
130000 2433.88
131000 2441.24
132000 2449.1
133000 2456.18
134000 2461.53
135000 2464.99
136000 2476.67
137000 2479.76
138000 2495.25
139000 2521.88
140000 2547.42
141000 2563.54
142000 2577.43
143000 2580.18
144000 2588.14
145000 2590.01
146000 2601.76
147000 2624.14
148000 2645.32
149000 2667.48
150000 2674.78
151000 2677.13
152000 2682.06
153000 2679.74
154000 2682.18
155000 2677.29
156000 2672.96
157000 2674.86
158000 2678.79
159000 2683.52
160000 2686.68
161000 2692.99
162000 2695.14
163000 2711.54
164000 2744.78
165000 2762.09
166000 2783.23
167000 2792.66
168000 2786.91
169000 2778.46
170000 2783.55
171000 2789.21
172000 2802.75
173000 2817.38
174000 2830.99
175000 2850.29
176000 2876.88
177000 2892.64
178000 2895.23
179000 2909.74
180000 2919.91
181000 2928.11
182000 2940.62
183000 2955.21
184000 2970.39
185000 2981.46
186000 3005.97
187000 3025.18
188000 3041.05
189000 3041.62
190000 3049.07
191000 3057.48
192000 3063.04
193000 3072.07
194000 3087.06
195000 3095.81
196000 3111.73
197000 3123.42
198000 3131.13
199000 3148.63
200000 3158.38
201000 3176.97
202000 3196.37
203000 3220.07
204000 3239.97
205000 3252.04
